userID,Control,Personalization,Information,Input,Personalization-control,Personalization-information
6105824bfb24c5db2f108a33,5,6,24,6,0,3
61080e8bfb24c5db2f10954f,1,12,44,5,0,10
610c0205fb24c5db2f10a141,0,5,20,3,2,19
610c81cffb24c5db2f10a461,0,0,0,0,0,0
610da803fb24c5db2f10b4f0,0,0,0,0,0,0
610efac0fb24c5db2f10cf7e,0,0,0,0,0,0
610f32a6fb24c5db2f10dd8b,0,0,0,0,0,0
614c03550f2f100663b50132,4,10,31,3,0,0
614dde9a0f2f100663b5049d,4,6,14,3,0,8
614e2d590f2f100663b5271e,7,22,41,4,0,5
6155e80a53c939867a1df459,6,5,44,3,0,0
61560cfd53c939867a1dfa8f,7,10,27,9,0,4
61563c1b53c939867a1e03c2,2,10,31,5,0,0
615e605553c939867a1e4ba2,14,6,32,2,0,0
6160ef6653c939867a1e8596,25,25,37,7,1,2
