userID,serpTime,serpVisits,workspaceTime,workspaceVisits,totalTime
6105824bfb24c5db2f108a33,645.2620000000001,2,54.957,1,700.219
61080e8bfb24c5db2f10954f,533.946,8,115.229,8,649.175
610c0205fb24c5db2f10a141,677.985,1,0.0,0,677.985
610c81cffb24c5db2f10a461,595.138,6,69.879,5,0
610da803fb24c5db2f10b4f0,626.698,1,0.0,0,0
610efac0fb24c5db2f10cf7e,691.861,1,0.0,0,0
610f32a6fb24c5db2f10dd8b,1133.988,1,0.0,0,0
614c03550f2f100663b50132,581.622,2,9.282,1,590.904
614dde9a0f2f100663b5049d,780.878,3,55.958,2,836.836
614e2d590f2f100663b5271e,626.8720000000001,2,11.37,1,638.242
6155e80a53c939867a1df459,763.107,1,0.0,0,763.107
61560cfd53c939867a1dfa8f,662.947,3,29.002000000000002,2,691.949
61563c1b53c939867a1e03c2,618.5609999999999,2,68.105,1,686.666
615e605553c939867a1e4ba2,708.721,1,0.0,0,708.721
6160ef6653c939867a1e8596,649.561,1,0.0,0,649.561
