userID,Information,Personalization,Control,Input,Personalization-control,Personalization-information
6187fbf81e307ec1baf5c8ad,20,17,0,11,0,0
618843e71e307ec1baf5d1f0,12,9,3,1,0,0
618879e31e307ec1baf5d678,10,41,1,17,0,0
6189402b1e307ec1baf5e204,13,6,8,3,0,3
618c70bd1e307ec1baf5ef15,21,14,0,11,0,0
618d6d7f1e307ec1baf5ff33,3,7,0,4,0,0
61912aa91e307ec1baf61b81,13,6,20,2,0,0
6199d5b01e307ec1baf68fb0,12,12,2,1,0,0
619b35fa1e307ec1baf6a80f,3,17,0,4,0,0
619da4f21e307ec1baf6ae29,13,5,2,5,0,0
619ec9ce1e307ec1baf6b658,24,13,2,3,0,0
619ff6091e307ec1baf6c1db,20,6,0,5,0,0
61a1419f1e307ec1baf6cab8,4,19,5,4,0,0
61a25d0a1e307ec1baf6d8d8,337,9,7,10,0,5
61a2959c1e307ec1baf75988,14,14,14,3,0,0
