Wilson's Classification,Event ID,Count
Input,task-created,13.0
Information,task-clicked,1.0
Personalization,task-renamed,1.0
Personalization,task-deleted,0.0
Information,task-query-count-clicked,2.0
Information,task-doc-count-clicked,2.0
Information,task-session-count-clicked,3.0
Input,task-detail-query-issued,0.0
Information,session-card-clicked,9.0
Information,session-query-count-clicked,3.0
Information,session-doc-count-clicked,4.0
Information,session-timestamp-clicked,1.0
Input,session-card-query-clicked,7.0
Information,task-detail-to-workspace-button-clicked,10.0
Information,task-detail-to-dashboard-button-clicked,8.0
Input,serp-form-query-issued,28.0
Information,serp-to-back-button-clicked,18.0
Personalization,saved-document,71.0
Personalization,removed-saved-document,1.0
Information,view-doc,97.0
Information,"doc-view-modal-close-clicked,",0.0
Information,doc-view-modal-close-top-clicked,72.0
Information,get-doc,91.0
Control,facet-selected,61.0
Control,facet-unselected,3.0
Control,facet-category-changed,0.0
Information,workspace-to-back-button-clicked,14.0
Personalization,removed-saved-doc,0.0
Information,doc-view-modal-close-clicked,22.0
Input,page-changed-2,14.0
Input,page-changed-3,4.0
Input,page-changed-4,1.0
Input,page-changed-5,0.0
Input,page-changed-6,0.0
Input,page-changed-7,0.0
Input,page-changed-8,0.0
Input,page-changed-9,0.0
Input,page-changed-10,0.0
