userID,serpTime,serpVisits,workspaceTime,workspaceVisits,totalTime
6187fbf81e307ec1baf5c8ad,591.759,2,17.42,2,609.179
618843e71e307ec1baf5d1f0,473.432,1,32.275,1,505.707
618879e31e307ec1baf5d678,593.95,2,43.534,2,637.484
6189402b1e307ec1baf5e204,495.49899999999997,6,144.822,6,640.321
618c70bd1e307ec1baf5ef15,609.843,2,96.108,2,705.951
618d6d7f1e307ec1baf5ff33,613.755,1,14.66,1,628.415
61912aa91e307ec1baf61b81,643.929,1,19.763,1,663.692
6199d5b01e307ec1baf68fb0,615.043,1,0.0,0,615.043
619b35fa1e307ec1baf6a80f,390.439,2,218.61599999999999,2,609.055
619da4f21e307ec1baf6ae29,598.727,1,12.928,1,611.655
619ec9ce1e307ec1baf6b658,560.453,1,11.455,1,571.908
619ff6091e307ec1baf6c1db,583.916,1,10.799,1,594.715
61a1419f1e307ec1baf6cab8,453.71099999999996,4,73.973,3,527.684
61a25d0a1e307ec1baf6d8d8,644.3979999999999,7,59.454,7,703.852
61a2959c1e307ec1baf75988,568.723,3,15.436,3,584.159
